1_name_lt;Beißender Frost
1_tooltip_lt;Füge {Counter} Zug/Züge lang zu Beginn des Zugs der schwächsten Einheit in der Reihe {Damage} Schaden zu.
100_fluff;Nicht alle auf dem Kontinent sind zu überzeugen, Königen und Königinnen, Herzögen und Kaisern zu folgen - jedenfalls nicht ohne pralle Geldbörse. Schließlich hat jeder seinen Preis.
100_name;Neutral
101_fluff;Legionen grässlicher Monster vom Alghul bis zum Zeugl. Vor ihnen erzittern Nordlinge und Nilfgaarder gleichermaßen.
101_name;Monster
102_fluff;Das mächtige Kaiserreich Nilfgaard wird nicht rasten, bis seine schwarz-goldenen Banner nicht über dem gesamten Kontinent flattern. Nach den letzten Jahren zu urteilen wird das eher früher als später sein.
102_name;Nilfgaard
1024_name_lt;Drachentraum
1024_tooltip_lt;Explodiert nach {Counter} Zug/Zügen zu Beginn des Zugs und fügt allen Einheiten in der Reihe {Damage} Schaden zu.
103_fluff;Königreiche, Herzogtümer, Marken ... die Territorien des Nordens sind so zahlreich wie vielfältig. Dennoch haben sie keine Zeit für Gefechte untereinander, denn die Macht Nilfgaards erfordert ihre volle Aufmerksamkeit.
103_name;Nördliche Königreiche
104_fluff;Rebellen, die für die Rechte der Anderlinge kämpfen. Sie wollen um jeden Preis ihr Ziel erreichen, die Wälder des Kontinents in Schlachtfelder zu verwandeln ... und in Friedhöfe.
104_name;Scoia'tael
105_fluff;Wilde Krieger, die weder den Tod noch die Kälte fürchten. Doch sie haben große Schwächen ... Met, Gesang und Vergnügen im Heu.
105_name;Skellige
112101_fluff;Ich gehe, wohin und wann immer ich will.
112101_name;Ciri
112101_tooltip;Nimm diese Einheit vom Schlachtfeld zurück auf die Hand, wann immer du eine Runde verlierst.
112102_fluff;Das Fingerschnippen eines Hexers kann eine Lampe entzünden ... oder einen Feind einäschern.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Zerstöre die stärkste(n) Einheit(en) in einer gegnerischen Reihe mit einer Gesamtstärke von mindestens {Power}.
112103_fluff;Wenn das nötig ist, um die Welt zu retten, ist es besser, wenn sie stirbt.
112103_name;Geralt von Riva
112103_tooltip;<keyword=deploy>Einsatz</keyword>: Zerstöre eine gegnerische Einheit mit mindestens {power} Stärke.
112104_fluff;Wenn man höflich ist, nennt man mich Monster, einen blutsaufenden Mutanten.
112104_name;Regis
112104_tooltip;<keyword=deploy>Einsatz</keyword>: Füge allen gegnerischen Einheiten in einer Reihe {Damage} Schaden zu. Werden dabei Einheiten zerstört, setze die Fähigkeit erneut ein.
112105_fluff;Er macht sich nach seinem Willen unsichtbar. Sein Blick schickt einen in tiefen Hypnoseschlaf. Dann trinkt er, verwandelt sich in eine Fledermaus und fliegt davon. Ziemlich ungehobelt.
112105_name;Regis: Höherer Vampir
112105_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: <keyword=drain>Entziehe</keyword> einer gegnerischen Einheit alle Verbesserungen.
112106_fluff;Ich kann auf mich aufpassen. Vertrau mir.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: <keyword=reveal>Enthülle</keyword> eine zufällig gewählte Einheit aus deinem Deck und füge einer gegnerischen Einheit Schaden in Höhe der Stärke der enthüllten Einheit zu.
112107_fluff;Er nennt sich auch Borch Drei Dohlen ... ein Händchen für Namen hat er nicht.
112107_name;Villentretenmerth
112107_tooltip;Zerstöre nach {Counter} Zug/Zügen am Ende des Zugs die stärkste Einheit auf dem Schlachtfeld (außer dieser Einheit).
112108_fluff;Magie ist Chaos, Kunst und Wissenschaft. Sie ist Fluch, Segen und Fortschritt.
112108_name;Yennefer von Vengerberg
112108_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge allen anderen Einheiten {Damage} Schaden zu. \n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verbessere alle anderen Einheiten um {Boost}.
112109_fluff;Entschuldigt. Das ist ein kluges Vögelchen aus Übersee, aber 'n ungewöhnliches. Ich hab zehn Taler für den komischen Vogel bezahlt.
112109_name;Zoltan: Halunke
112109_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: <keyword=spawn>Generiere</keyword> Duda: Aufwiegler und spiele ihn aus.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: <keyword=spawn>Generiere</keyword> Duda: Feldmarschall und spiele ihn aus.
112110_fluff;Märchen sind keine Märchen mehr, wenn die Leute anfangen, an sie zu glauben.
112110_name;Ciri: Sprint
112110_tooltip;Ziehe nach {Counter} Zug/Zügen zu Beginn des Zugs eine Karte.
112111_fluff;Ein Stoß konzentrierter Energie, der alles abräumt, was im Weg steht. Nützlich, wenn man den Schlüssel vergessen hat.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge {Maxtargets} gegnerischen Einheit(en) {Damage} Schaden zu und verschiebe sie, sofern möglich, um eine Reihe nach oben.
112112_fluff;Unter den freien Elfen gibt es eine Handvoll Aen Saevherne, auch "Wissende" genannt. Sie sind so geheimnisvoll, dass sie schon fast Legenden sind.
112112_name;Avallac'h: Weiser
112112_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Spiele ein Artefakt aus deinem Deck aus.
