1_name_lt;Biting Frost
1_tooltip_lt;For {Counter} turns, on turn start, damage the lowest unit on this row by {Damage}.
100_fluff;Not all on the Continent choose to follow kings, queens, dukes, and emperors. That isn't to say, however, that they cannot be persuaded by a purse heavy with coin. Everyone has their price, after all.
100_name;Neutral
101_fluff;Legions of hideous monsters, from alghoul to zeugl. All tremble before them, Nordling and Nilfgaardian alike.
101_name;Monsters
102_fluff;The powerful Nilfgaardian Empire will not stop until their black and gold banners wave over the entire Continent. If recent years are any indication, they may succeed sooner rather than later.
102_name;Nilfgaard
1024_name_lt;Dragon's Dream
1024_tooltip_lt;After {Counter} turns, on turn start, explode and damage all units on the row by {Damage}.
103_fluff;Kingdoms, duchies, marches... The territories of the North are numerous and varied. Yet, they've no time to fight each other, for the might of the Nilfgaardian Empire deserves one's full attention.
103_name;Northern Realms
104_fluff;Rebels who fight for the rights of non-humans. They'll stop at nothing to achieve their goal, turning the Continent's forests into fields of battle... And cemeteries.
104_name;Scoia'tael
105_fluff;Fierce warriors who fear neither death nor cold. Yet, they are not without great weaknesses... Mead, song, and a tumbles in the hay.
105_name;Skellige
112101_fluff;I go wherever I please, whenever I please.
112101_name;Ciri
112101_tooltip;Whenever you lose a round, return this unit from the battlefield to your hand.
112102_fluff;A twist of a witcher's fingers can light a lamp… or incinerate a foe.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=melee>Melee</keyword>: Destroy the highest unit(s) on an enemy row with a total of {Power} or more power.
112103_fluff;If that's what it takes to save the world, it's better to let that world die.
112103_name;Geralt of Rivia
112103_tooltip;<keyword=deploy>Deploy</keyword>: Destroy an enemy with {power} or more power.
112104_fluff;Men, the polite ones, at least, would call me a monster. A blood–drinking freak.
112104_name;Regis
112104_tooltip;<keyword=deploy>Deploy</keyword>: Damage all enemies on a row by {Damage}. If any were destroyed, repeat this ability.
112105_fluff;He becomes invisible at will. His glance hypnotizes into a deep sleep. He then drinks his fill, turns into a bat and flies off. Altogether uncouth.
112105_name;Regis: Higher Vampire
112105_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=melee>Melee</keyword>: <keyword=drain>Drain</keyword> all boosts from an enemy.
112106_fluff;I can take care of myself. Trust me.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=ranged>Ranged</keyword>: <keyword=reveal>Reveal</keyword> a random unit from your deck and damage an enemy by its power.
112107_fluff;Also calls himself Borkh Three Jackdaws… he's not the best at names.
112107_name;Villentretenmerth
112107_tooltip;After {Counter} turns, on turn end, destroy the highest unit on the battlefield, excluding self.
112108_fluff;Magic is Chaos, Art and Science. It is a curse, a blessing and a progression.
112108_name;Yennefer of Vengerberg
112108_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=melee>Melee</keyword>: Damage all other units by {Damage}. \n<keyword=deploy>Deploy</keyword>, <keyword=ranged>Ranged</keyword>: Boost all other units by {Boost}.
112109_fluff;Apologies. My exotic pet's a clever birdie, but a wee bit lewd. Paid ten thalers for the beaute.
112109_name;Zoltan: Scoundrel
112109_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=melee>Melee</keyword>: <keyword=spawn>Spawn</keyword> and play Duda: Agitator.\n<keyword=deploy>Deploy</keyword>, <keyword=ranged>Ranged</keyword>: <keyword=spawn>Spawn</keyword> and play Duda: Companion.
112110_fluff;Know when fairy tales cease to be tales? When people start believing them.
112110_name;Ciri: Dash
112110_tooltip;After {Counter} turns, on turn start, draw a card.
112111_fluff;A blast of concentrated energy that pummels everything in its path. Great for when you forget your keys.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=melee>Melee</keyword>: Damage {Maxtargets} enemies by {Damage}, and if possible, move them to the ranged row.
112112_fluff;Amongst the free elves were a handful of Aen Saevherne, or Sages. They were an enigma, bordering on a legend.
112112_name;Avallac'h: Sage
112112_tooltip;<keyword=deploy>Deploy</keyword>, <keyword=ranged>Ranged</keyword>: Play an artifact from your deck.
112113_fluff;A good sorceress must know when to conjure ice… and when to conjure fire.
112113_name;Yennefer: Conjurer
112113_tooltip;<keyword=order>Order</keyword>: Damage the highest enemy unit(s) by {Damage}. \n<keyword=cooldown>Cooldown</keyword>: {Cooldown}.
112201_fluff;A mimic, among the many other names for his sort: changelings, doublings, vexlings… or dopplers.
112201_name;Dudu
112201_tooltip;<keyword=deploy>Deploy</keyword>: Transform into a base copy of an enemy unit.
112202_fluff;I'm a simple witcher, Wolf. Don't fight dragons, don't fraternize with kings and don't sleep with sorceresses…
112202_name;Eskel
112202_tooltip;<keyword=deploy>Deploy</keyword>: <keyword=summon>Summon</keyword> Vesemir and Lambert from your deck to this row.
112203_fluff;If you're to be hanged, ask for water. Anything can happen before they fetch it.
112203_name;Vesemir
112203_tooltip;<keyword=deploy>Deploy</keyword>: <keyword=summon>Summon</keyword> Eskel and Lambert from your deck to this row.
112204_fluff;Now that's the kind of negotiating I understand.
112204_name;Lambert
112204_tooltip;<keyword=deploy>Deploy</keyword>: <keyword=summon>Summon</keyword> Eskel and Vesemir from your deck to this row.
112205_fluff;Never get between a mother dragon and her young.
112205_name;Myrgtabrakke
112205_tooltip;<keyword=order>Order</keyword>: Damage an enemy by {Damage}. \n<keyword=charge>Charge</keyword>: {Charges}.
112206_fluff;The Master of Quartz Mountain, the Destroyer, Trajan's Slayer. In his free time, he likes long walks and candlelight dinners.
112206_name;Ocvist
112206_tooltip;<keyword=order>Order</keyword>: Damage all enemies by {Damage}.
112207_fluff;At least you now know I don't easily lose my head.
112207_name;Olgierd von Everec
112207_tooltip;<keyword=order>Order</keyword>: <keyword=heal>Heal</keyword> self.\n<keyword=cooldown>Cooldown</keyword>: {Cooldown}.
112208_fluff;As time and space collapse before us, they expand behind us. In that way one moves forward through both.
112208_name;Operator
