1_name_lt;Escarcha Polar
1_tooltip_lt;Durante {Counter} turnos, al inicio del turno, inflige {Damage} de daño a la unidad de menor poder en la fila.
100_fluff;No todos los habitantes del continente eligen seguir reyes, reinas, duques o emperadores. Sin embargo, esto no significa que no puedan persuadirse con una bolsa llena de monedas. Todos tienen un precio, después de todo.
100_name;Neutral
101_fluff;Legiones de monstruos espantosos, de alghul a zeugl. Todos tiemblan ante ellos, tanto norteños como nilfgaardianos.
101_name;Monstruos
102_fluff;El poderoso imperio nilfgaardiano no se detendrá hasta que sus estandartes negros y dorados ondeen en todo el continente. Si los últimos años son un indicio de algo, es posible que tengan éxito más temprano que tarde.
102_name;Nilfgaard
1024_name_lt;Sueño del dragón
1024_tooltip_lt;Después de {Counter} turnos, al inicio del turno, explota e inflige {Damage} de daño a todas las unidades en la fila.
103_fluff;Reinos, ducados, marcas... Los territorios del norte son numerosos y muy variados. Sin embargo, no tienen tiempo para pelear entre ellos, pues el poder del imperio nilfgaardiano necesita toda la atención.
103_name;Reinos del Norte
104_fluff;Rebeldes que luchan por los derechos de los no humanos. No se detendrán ante nada para lograr su objetivo de convertir los bosques del continente en campos de batalla... y cementerios.
104_name;Scoia'tael
105_fluff;Violentos guerreros que no le temen ni a la muerte ni al frío. No obstante, sí que tienen debilidades: hidromiel, canciones y tumbarse en el heno.
105_name;Skellige
112101_fluff;Voy donde me da la gana, cuando me da la gana.
112101_name;Ciri
112101_tooltip;Siempre que pierdas una ronda, regresa esta unidad a tu mano desde el campo de batalla.
112102_fluff;El chasquido de los dedos de un brujo puede encender una lámpara... o incinerar a un enemigo.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: destruye la(s) unidad(es) más altas en una fila con un poder total de {Power} o más.
112103_fluff;Si eso es lo que hace falta para salvar al mundo, es mejor dejar que sucumba.
112103_name;Geralt de Rivia
112103_tooltip;<keyword=deploy>Despliegue</keyword>: destruye un enemigo con {power} o más de poder.
112104_fluff;Al menos los más educados me considerarían un monstruo. Un engendro que bebe sangre.
112104_name;Regis
112104_tooltip;<keyword=deploy>Despliegue</keyword>: inflige {Damage} de daño a todos los enemigos en una fila. Si alguno es destruido, repite esta habilidad.
112105_fluff;Se vuelve invisible cuando quiere. Su mirada te hipnotiza y te sume en un sueño profundo. Luego bebe hasta el hartazgo, se convierte en un murciélago, alza vuelo y se aleja. Bastante ordinario.
112105_name;Regis: Superior
112105_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: <keyword=drain>absorbe</keyword> todas las potenciaciones de un enemigo.
112106_fluff;Créeme: puedo cuidarme solita.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: <keyword=reveal>revela</keyword> una unidad al azar de tu mazo e inflige una cantidad de daño igual a su poder al enemigo.
112107_fluff;También se hace llamar Borch Tres Gajos... Los apodos no son su fuerte.
112107_name;Villentretenmerth
112107_tooltip;Luego de {Counter} turnos, al final del turno, destruye a la unidad de mayor poder en el campo de batalla (excepto ella misma).
112108_fluff;La magia es caos, arte y ciencia. Es una maldición, una bendición y una progresión.
112108_name;Yennefer de Vengerberg
112108_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: inflige {Damage} de daño al resto de las unidades. \n<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: otorga {Boost} de potencia al resto de las unidades.
112109_fluff;Disculpas. Mi mascota exótica es un pajarito inteligente, pero un poquito libidinoso. Pagué diez táleros por esta belleza.
112109_name;Zoltan: Granuja
112109_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: <keyword=spawn>genera</keyword> y juega Duda: Agitador.\n<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: <keyword=spawn>genera</keyword> y juega Duda: Compañero.
112110_fluff;¿Sabes cuándo los cuentos de hadas dejan de ser cuentos? Cuando la gente empieza a creer en ellos.
112110_name;Ciri: Arremetida
112110_tooltip;Luego de {Counter} turnos, al inicio del turno, roba una carta.
112111_fluff;Una explosión de energía concentrada que golpea todo lo que encuentra a su paso. Ideal para cuando olvidas las llaves.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: daña {Maxtargets} enemigos infligiendo {Damage} de daño y los mueve a la fila a distancia si es posible.
112112_fluff;Entre los elfos libres había unos cuantos Aen Saevherne, o Sabios. Eran todo un enigma, prácticamente una leyenda.
112112_name;Avallac'h: Sabio
