1_name_lt;Froid mordant
1_tooltip_lt;Tous les {Counter} tours, au début du tour, infligez {Damage} point(s) de dégâts à l'unité la plus faible sur la ligne.
100_fluff;Certains sur le continent n'ont que faire des rois, des reines, des ducs et des empereurs. Cela ne veut cependant pas dire qu'ils se montreront insensibles à l'appel d'une bourse bien remplie. Tout le monde a un prix, après tout.
100_name;Neutre
101_fluff;Des légions entières de monstres infâmes, de l'algoule au zeugle. Du continent jusqu'au Nilfgaard, tous tremblent devant eux.
101_name;Monstres
102_fluff;Le puissant empire du Nilfgaard ne s'arrêtera pas tant que ses étendards noir et or ne couvriront pas tout le continent. Et si on se fie aux événements des dernières années, ils risquent bien d'y parvenir.
102_name;Nilfgaard
1024_name_lt;Rêve de dragon
1024_tooltip_lt;Après {Counter} tours, au début du tour, la bombe explose et inflige {Damage} point(s) de dégâts à toutes les unités sur la ligne.
103_fluff;Royaumes, duchés, marches… Les territoires du Nord sont nombreux, et variés. Ils n'ont cependant pas le loisir de se disputer, car le puissant empire du Nilfgaard requiert toute leur attention.
103_name;Royaumes du Nord
104_fluff;Des rebelles luttant pour les droits des non-humains. Ils ne reculent devant rien pour défendre leurs idéaux, quitte à transformer les forêts du continent en champs de bataille… et en cimetières.
104_name;Scoia'tael
105_fluff;De féroces guerriers ne craignant ni le froid, ni la mort. Leurs faiblesses, pourtant, sont connues : l'hydromel, les chansons, et les parties de jambes en l'air.
105_name;Skellige
112101_fluff;Moi, je vais où je veux, quand je veux.
112101_name;Ciri
112101_tooltip;Chaque fois que vous perdez une manche, replacez la présente unité dans votre main.
112102_fluff;D'un geste de la main, un sorceleur peut allumer une lampe… ou carboniser un ennemi.
112102_name;Geralt : Igni
112102_tooltip;<keyword=deploy>Déploiement</keyword>.\n<keyword=melee>Combat rapproché</keyword> : détruisez la ou les unités les plus fortes d'une ligne ennemie ayant une force totale d'au moins {Power}.
112103_fluff;À choisir entre deux maux, je préfère ne pas choisir du tout.
112103_name;Geralt de Riv
112103_tooltip;<keyword=deploy>Déploiement</keyword> : détruisez un ennemi disposant d'une force d'au moins {power}.
112104_fluff;Pour parler simplement, je passe pour un monstre. Un monstre buveur de sang.
112104_name;Regis
112104_tooltip;<keyword=deploy>Déploiement</keyword> : infligez {Damage} point(s) de dégâts à tous les ennemis d'une ligne. Si un ennemi est détruit, répétez cette capacité.
112105_fluff;Dans la fumée, Ciri vit avec effroi une forme noire rappelant une énorme chauve-souris se mouvoir à une vitesse phénoménale. Elle vit la chauve-souris s'accrocher aux mercenaires et les soulever, elle vit les hommes retomber en poussant un hurlement.
112105_name;Regis : supérieur
112105_tooltip;<keyword=deploy>Déploiement</keyword>.\n<keyword=melee>Combat rapproché</keyword> : <keyword=drain>drainez</keyword> toutes les améliorations d'une unité.
112106_fluff;Crois-moi, je sais me défendre.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Déploiement</keyword>.\n<keyword=ranged>Combat à distance</keyword> : <keyword=reveal>révélez</keyword> une unité aléatoire de votre jeu et infligez un nombre de points de dégâts équivalant à sa force.
112107_fluff;Il se fait aussi appeler Borch Trois-Choucas… Les noms, c'est pas son truc.
112107_name;Villentretenmerth
112107_tooltip;Après {Counter} tours, à la fin du tour, détruisez une autre unité disposant de la force la plus élevée sur le plateau.
112108_fluff;La magie, c'est le Chaos, l'Art et la Science. C'est une malédiction, une bénédiction et un progrès.
112108_name;Yennefer de Vengerberg
112108_tooltip;<keyword=deploy>Déploiement</keyword>, <keyword=melee>Combat rapproché</keyword> : infligez {Damage} point(s) de dégâts à toutes les autres unités. \n<keyword=deploy>Déploiement</keyword>, <keyword=ranged>Combat à distance</keyword> : améliorez toutes les autres unités de {Boost} point(s).
112109_fluff;Pardon. Il est malin, cet oiseau d'outre-mer, mais il n'a aucun sens moral. Cet original m'a coûté dix thalers.
112109_name;Zoltan : gredin
112109_tooltip;<keyword=deploy>Déploiement</keyword>, <keyword=melee>Combat rapproché</keyword> : <keyword=spawn>générez</keyword> et jouez Duda : agitateur.\n<keyword=deploy>Déploiement</keyword>, <keyword=ranged>Combat à distance</keyword> : <keyword=spawn>générez</keyword> et jouez Duda : compagnon.
112110_fluff;Tu sais quand les histoires cessent d'être des histoires ? Dès l'instant où quelqu'un commence à y croire.
112110_name;Ciri : ruée
112110_tooltip;Tirez une carte après {Counter} tours.
112111_fluff;Une vague d'énergie concentrée qui balaie tout sur son passage. Pratique si on a perdu ses clefs.
112111_name;Geralt : Aard
112111_tooltip;<keyword=deploy>Déploiement</keyword>.\n<keyword=melee>Combat rapproché</keyword> : infligez {Damage} point(s) de dégâts à {Maxtargets} ennemis et déplacez-les d'une ligne vers le haut.
112112_fluff;Parmi les elfes libres se trouvait une poignée d'Aen Saevherne, les sages. Ils étaient une énigme confinant à la légende.
112112_name;Avallac'h : sage
112112_tooltip;<keyword=deploy>Déploiement</keyword>, <keyword=ranged>Combat à distance</keyword> : jouez un artefact depuis votre jeu.
112113_fluff;Une bonne sorcière doit savoir quand utiliser la glace… et quand utiliser le feu.
112113_name;Yennefer : sorcière
112113_tooltip;<keyword=order>Ordre</keyword> : infligez {Damage} point(s) de dégâts à l'unité ennemie la plus forte. \n<keyword=cooldown>Réutilisation</keyword> : {Cooldown} tour(s).
112201_fluff;On a attribué différents noms aux créatures de son espèce, comme mime, changelin, doubleur, cambio… ou encore doppler.
112201_name;Doudou
112201_tooltip;<keyword=deploy>Déploiement</keyword> : transformation en copie de base d'une unité ennemie.
112202_fluff;Je suis un modeste sorceleur, Loup Blanc. Je ne combats pas les dragons, je n'ai pas l'oreille des rois et je ne côtoie pas les magiciennes.
112202_name;Eskel
112202_tooltip;<keyword=deploy>Déploiement</keyword> : <keyword=summon>invoquez</keyword> Vesemir et Lambert depuis votre jeu.
112203_fluff;Au moment d'être pendu, demande de l'eau. Tout peut arriver avant qu'on la puise.
