1_name_lt;Trzaskający Mróz
1_tooltip_lt;Na początku każdej z {Counter} tur zadaj najsłabszej jednostce w rzędzie {Damage} pkt obrażeń.
100_fluff;Niektórzy mieszkańcy Kontynentu nie uznają zwierzchności żadnego władcy… Co nie znaczy, że nie można ich kupić. Każdy ma swoją cenę.
100_name;Neutralne
101_fluff;Legion ohydnych monstrów, od alghula po zeugla. Drży przed nimi zarówno Północ, jak i Nilfgaard.
101_name;Potwory
102_fluff;Potężne Cesarstwo Nilfgaardu nie zatrzyma się, póki nie podbije całego Kontynentu. Patrząc na wydarzenia ostatnich lat, stanie się to wkrótce.
102_name;Nilfgaard
1024_name_lt;Smoczy Sen
1024_tooltip_lt;Po {Counter} turach, na początku tury, eksploduj i zadaj wszystkim jednostkom w rzędzie {Damage} pkt obrażeń.
103_fluff;Królestwa, księstwa, marchie… Północ podzielona jest na tuziny państewek, które nie walczą ze sobą tylko dlatego, że akurat walczą z Nilfgaardem.
103_name;Królestwa Północy
104_fluff;Bojownicy o prawa nieludzi, którzy nie cofną się przed niczym, żeby osiągnąć swój cel. Uczyniły z lasów Kontynentu krwawe pole bitwy - i cmentarz.
104_name;Scoia'Tael
105_fluff;Wojowie, którzy nie czują strachu ani zimna… Ale za to przejawiają wielką słabość do miodu, pieśni i cielesnych uciech.
105_name;Skellige
112101_fluff;Ja mogę iść, gdzie chcę i kiedy chcę.
112101_name;Ciri
112101_tooltip;Za każdym razem, gdy przegrasz rundę, cofnij tę jednostkę z pola bitwy do swojej ręki.
112102_fluff;Było wielu takich, którzy lekceważyli wiedźmińskie znaki. Każdy, kto poczuł na swojej skórze Znak Igni, szybko zmienił zdanie na ten temat.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Rozmieszczenie</keyword>, <keyword=melee>bliskie starcie</keyword>: Zniszcz najsilniejszą jednostkę lub jednostki w rzędzie przeciwnika o łącznej sile {Power} lub większej.
112103_fluff;Jeżeli mam wybierać pomiędzy jednym złem a drugim, to wolę nie wybierać wcale.
112103_name;Geralt z Rivii
112103_tooltip;<keyword=deploy>Rozmieszczenie</keyword>: Zniszcz wroga o sile {power} lub większej.
112104_fluff;Uchodzę, delikatnie mówiąc, za potwora. Za krwiożercze monstrum.
112104_name;Regis
112104_tooltip;<keyword=deploy>Rozmieszczenie</keyword>: Zadaj wszystkim wrogom w rzędzie {Damage} pkt obrażeń. Jeśli któryś ulegnie zniszczeniu, powtórz tę umiejętność.
112105_fluff;Może, gdy zechce, stać się niewidzialny. Może spojrzeniem zauroczyć, wprawić w głęboki sen. Przybierać postać nietoperza i latać jak nietoperz.
112105_name;Regis: Wampir Wyższy
112105_tooltip;<keyword=deploy>Rozmieszczenie</keyword>, <keyword=melee>bliskie starcie</keyword>: <keyword=drain>Wykradnij</keyword> wrogowi wszystkie wzmocnienia.
112106_fluff;Potrafię o siebie zadbać. Wierz mi.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Rozmieszczenie</keyword>, <keyword=ranged>daleki zasięg</keyword>: <keyword=reveal>Ujawnij</keyword> losową jednostkę ze swojej talii i zadaj wrogowi obrażenia równe jej sile.
112107_fluff;Było w tym stworzeniu coś pełnego niewysłowionej gracji.
112107_name;Villentretenmerth
112107_tooltip;Po {Counter} turach, na koniec tury, zniszcz najsilniejszą jednostkę na polu bitwy (nie licząc tej jednostki).
112108_fluff;Odziana w kompozycję czerni i bieli, przywodziła na myśl grudniowy poranek.
112108_name;Yennefer z Vengerbergu
112108_tooltip;<keyword=deploy>Rozmieszczenie</keyword>, <keyword=melee>bliskie starcie</keyword>: Zadaj wszystkim innym jednostkom {Damage} pkt obrażeń.\n<keyword=deploy>Rozmieszczenie</keyword>, <keyword=ranged>daleki zasięg</keyword>: Wzmocnij wszystkie inne jednostki o {Boost}.
112109_fluff;Wybaczcie. Mądre to zamorskie ptaszysko, ale nieobyczajne. Dziesięć talarów za cudaka dałem.
112109_name;Zoltan: Szelma
