1_name_lt;Frio Congelante
1_tooltip_lt;Por {Counter} turnos, no começo do turno, causa {Damage} de dano à unidade mais baixa desta fileira.
100_fluff;Nem todos no Continente decidem seguir reis, rainhas, duques e imperadores. No entanto, isto não quer dizer que não podem ser persuadidos por uma bolsa pesada de moedas. Todos têm o seu preço, afinal.
100_name;Neutras
101_fluff;Legiões de monstros horrendos, do carniçal-atroz ao zeugl. Todos tremem diante deles, tanto nórdicos quanto nilfgaardianos.
101_name;Monstros
102_fluff;O poderoso Império Nilfgaardiano não vai parar até suas bandeiras pretas e douradas tremularem em todo o Continente. Se os últimos anos indicam alguma coisa, talvez sejam bem-sucedidos muito em breve.
102_name;Nilfgaard
1024_name_lt;Sonho do Dragão
1024_tooltip_lt;Após {Counter} turnos, no início do turno, explode e causa {Damage} de dano a todas as unidades na fileira.
103_fluff;Reinos, ducados, fronteiras... Os territórios do Norte são numerosos e variados. Mesmo assim, eles não têm tempo para conflitos internos, pois o poderio do Império Nilfgaardiano merece sua atenção total.
103_name;Reinos do Norte
104_fluff;Rebeldes que lutam pelos direitos de não-humanos. Eles não serão detidos por nada para alcançarem seu objetivo, transformando as florestas do Continente em campos de batalha... e cemitérios.
104_name;Scoia'tael
105_fluff;Guerreiros ferozes que não temem a morte nem o frio. Mesmo assim, eles têm suas fraquezas... hidromel, música e rolar no palheiro.
105_name;Skellige
112101_fluff;Eu vou aonde eu quiser, a hora que eu quiser.
112101_name;Ciri
112101_tooltip;Sempre que você perder uma rodada, retorne esta unidade do campo de batalha para a sua mão.
112102_fluff;O movimento dos dedos de um bruxo pode acender uma lâmpada... ou incinerar um inimigo.
112102_name;Geralt: Igni
112102_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword> : destrói a(s) unidade(s) mais alta(s) de uma fileira inimiga com poder total de ao menos {Power}.
112103_fluff;Se isso for o que é preciso para salvar o mundo, é melhor deixá-lo morrer.
112103_name;Geralt de Rívia
112103_tooltip;<keyword=deploy>Mobilização</keyword>: destrói um inimigo com {power} de poder ou mais.
112104_fluff;Os humanos educados me chamam de monstro, de aberração bebedora de sangue.
112104_name;Regis
112104_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a todos os inimigos em uma fileira. Se algum for destruído, repete esta habilidade.
112105_fluff;Ele fica invisível quando quer. Seu olhar hipnotiza em sono profundo. Ele então bebe a sua bebida, se transforma em morcego e voa. Tudo muito rude.
112105_name;Regis: Vampiro Ancião
