1_name_lt;Трескучий мороз
1_tooltip_lt;В течение {Counter} ходов наносите в начале хода по {Damage} ед. урона слабейшему отряду в этом ряду.
100_fluff;Некоторые жители континента не признают никаких властителей. Впрочем, это не означает, что их нельзя купить. У каждого своя цена.
100_name;Нейтральные карты
101_fluff;Легион отвратительных монстров, от альгуля до риггера. Перед ними дрожат как северяне, так и нильфгаардцы.
101_name;Чудовища
102_fluff;Могущественная Нильфгаардская империя не остановится, пока не завоюет весь континент. Судя по последним событиям, это случится совсем скоро.
102_name;Нильфгаард
1024_name_lt;Мечта дракона
1024_tooltip_lt;После {Counter} ходов устройте взрыв в начале хода и нанесите по {Damage} ед. урона всем отрядам в этом ряду.
103_fluff;Королевства, княжества, марки... Север поделен на десятки владений, которые не воюют друг с другом только потому, что все вместе воюют с Нильфгаардом.
103_name;Королевства Севера
104_fluff;Борцы за права нелюдей, которые не остановятся ни перед чем для достижения своих целей. Они превратили леса континента в поля битвы - и кладбища.
104_name;Скоя'таэли
105_fluff;Воины, которые не чувствуют ни страха, ни холода... зато питают великую слабость к меду, песням и телесным утехам.
105_name;Скеллиге
112101_fluff;А я могу идти где хочу и когда хочу.
112101_name;Цири
112101_tooltip;Возвращайте этот отряд с поля в вашу руку каждый раз, когда проигрываете раунд.
112102_fluff;Многие пренебрегали ведьмачьими Знаками. Почувствовав на своей шкуре мощь Игни, они быстро меняли свое мнение.
112102_name;Геральт: Игни
112102_tooltip;<keyword=deploy>Размещение</keyword>, <keyword=melee>рукопашный ряд</keyword>: уничтожьте сильнейший отряд (или отряды) в ряду противника, если общая сила ряда не меньше {Power} ед.
112103_fluff;Если надо выбирать между одним злом и другим, я предпочитаю не выбирать.
112103_name;Геральт из Ривии
112103_tooltip;<keyword=deploy>Размещение</keyword>: уничтожьте вражеский отряд с силой не менее {power} ед.
112104_fluff;Я, деликатно говоря, считаюсь чудовищем. Кровожадным монстром.
112104_name;Регис
112104_tooltip;<keyword=deploy>Размещение</keyword>: нанесите по {Damage} ед. урона всем вражеским отрядам в ряду. Если уничтожите хотя бы один отряд, примените способность повторно.
112105_fluff;Он может, если захочет, стать невидимым. Взглядом может зачаровать, погрузить в глубокий сон. Может обратиться в нетопыря и летать...
112105_name;Регис: высший вампир
112105_tooltip;<keyword=deploy>Размещение</keyword>, <keyword=melee>рукопашный ряд</keyword>: <keyword=drain>истощите</keyword> все усиления вражеского отряда.
112106_fluff;Я сумею о себе позаботиться. Поверь мне.
112106_name;Трисс Меригольд
