1_name_lt;刺骨冰霜
1_tooltip_lt;{Counter} 回合內，回合開始時，對此列最小的單位牌造成 {Damage} 點傷害。
100_fluff;並非全大陸都決定服從國王、女王、公爵或大帝。不過，這也不代表這些人不會見錢眼開。畢竟，誰都能被收買，價格問題而已。
100_name;中立
101_fluff;包含了巨食屍鬼和觸手巨怪等等，各式各樣駭人的怪物。無論是北方人或尼弗迦德人，在牠們面前都會嚇得魂飛魄散。
101_name;怪物
102_fluff;強大的尼弗迦德帝國在把全大陸都覆蓋上自己的黑色與金色的旗幟之前，絕對不會停下腳步。以近年來的事態看來，他們的成功應該指日可待。
102_name;尼弗迦德
1024_name_lt;龍之夢
1024_tooltip_lt;{Counter} 回合後，回合開始時，爆炸並對列上所有單位牌造成 {Damage} 點傷害。
103_fluff;有王國、公國和領地……北方領域的領土劃分地非常零散又多元。然而，他們卻沒空互相爭搶地盤，因為尼弗迦德帝國的威嚇已經讓他們疲於奔命。
103_name;北方領域
104_fluff;為了非人種族的權利而奮戰的反抗軍。他們為了達到目的而不擇手段，並將全大陸的森林都變成戰場……也變成了墓園。
104_name;松鼠黨
105_fluff;對死亡和寒冷都無所畏懼的凶狠戰士。然而，他們也並非完全沒有致命缺點……像是蜂蜜酒、歌曲和稻草堆中的不明動靜。
105_name;史凱利傑
112101_fluff;去往何處，何時動身，我自己說了算。
112101_name;希里
112101_tooltip;每當我方一局落敗，便從場上將此單位牌收回我方手牌。
112102_fluff;狩魔獵人晃晃手指就能點燈，或把敵人燒成灰。
112102_name;傑洛特：伊格尼法印
112102_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：摧毀敵軍單列最大的單位牌，其總戰力為 {Power} 點以上。
112103_fluff;如果要付出這種代價方能拯救世界，那就讓世界毀滅算了。
112103_name;利維亞的傑洛特
112103_tooltip;<keyword=deploy>部署</keyword>：摧毀 1 張戰力為 {power} 點以上的敵軍。
112104_fluff;人類，那些還算客氣的——都把我叫做怪物、吸血的怪胎。
112104_name;雷吉斯
112104_tooltip;<keyword=deploy>部署</keyword>：對單列所有敵軍造成 {Damage} 點傷害。若有任何單位牌被摧毀，則重複發動此能力。
